start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2006-07-17,2006-07-23,Italy,Clay,50000.0,$,2006,edouard-roger-vasselin,,stephane-bohli,,rimini_challenger,Round of 32,3.0,f,100,3,,,2.0,15.0,11.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,f,Italy,1.0,11.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,t,Italy
2006-07-17,2006-07-23,Italy,Clay,50000.0,$,2006,federico-luzzi,,pablo-andujar,,rimini_challenger,Semi-Finals,3.0,f,100,6,,,1.0,10.0,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,5,t,Italy,2.0,14.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,f,Italy
2006-07-17,2006-07-23,Italy,Clay,50000.0,$,2006,federico-luzzi,,radim-zitko,,rimini_challenger,Round of 16,2.0,f,100,4,,,2.0,9.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,t,5,t,Italy,0.0,0.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,t,f,Italy
2006-07-17,2006-07-23,Italy,Clay,50000.0,$,2006,federico-luzzi,,simone-vagnozzi,,rimini_challenger,Quarter-Finals,2.0,f,100,5,,,2.0,12.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,5,t,Italy,0.0,5.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Italy
2006-07-17,2006-07-23,Italy,Clay,50000.0,$,2006,federico-luzzi,,stefan-wauters,,rimini_challenger,Round of 32,3.0,f,100,3,,,2.0,18.0,14.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,5,t,Italy,1.0,14.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Italy
2006-07-17,2006-07-23,Italy,Clay,50000.0,$,2006,gabriel-moraru,,giorgio-galimberti,,rimini_challenger,Round of 32,3.0,f,100,3,,,1.0,15.0,17.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,t,Italy,2.0,17.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,f,Italy
2006-07-17,2006-07-23,Italy,Clay,50000.0,$,2006,giorgio-galimberti,,santiago-ventura,,rimini_challenger,Round of 16,3.0,f,100,4,,,2.0,16.0,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,7,f,Italy,1.0,13.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,t,Italy
2006-07-17,2006-07-23,Italy,Clay,50000.0,$,2006,giorgio-galimberti,,werner-eschauer,,rimini_challenger,Quarter-Finals,3.0,f,100,5,,,1.0,8.0,17.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,7,t,Italy,2.0,17.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,f,Italy
2006-07-17,2006-07-23,Italy,Clay,50000.0,$,2006,gregory-gumbs,,paolo-lorenzi,,rimini_challenger,Round of 32,2.0,f,100,3,,,0.0,2.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,WC,f,Italy,2.0,12.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Italy
2006-07-17,2006-07-23,Italy,Clay,50000.0,$,2006,jan-masik,,pablo-andujar,,rimini_challenger,Round of 16,3.0,f,100,4,,,1.0,14.0,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,t,Italy,2.0,14.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,f,Italy
2006-07-17,2006-07-23,Italy,Clay,50000.0,$,2006,juan-pablo-brzezicki,,marcel-goodman,,rimini_challenger,Round of 32,2.0,f,100,3,,,2.0,12.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Italy,0.0,5.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Italy
2006-07-17,2006-07-23,Italy,Clay,50000.0,$,2006,juan-pablo-brzezicki,,pablo-andujar,,rimini_challenger,Quarter-Finals,2.0,f,100,5,,,0.0,6.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Italy,2.0,12.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Italy
2006-07-17,2006-07-23,Italy,Clay,50000.0,$,2006,juan-pablo-brzezicki,,paolo-lorenzi,,rimini_challenger,Round of 16,3.0,f,100,4,,,2.0,16.0,14.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,f,Italy,1.0,14.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,t,Italy
2006-07-17,2006-07-23,Italy,Clay,50000.0,$,2006,leonardo-azzaro,,nicolas-devilder,,rimini_challenger,Round of 32,3.0,f,100,3,,,1.0,11.0,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Italy,2.0,13.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Italy
2006-07-17,2006-07-23,Italy,Clay,50000.0,$,2006,melvyn-op-der-heijde,,pablo-cuevas,,rimini_challenger,Quarter-Finals,3.0,f,100,5,,,2.0,18.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,f,Italy,1.0,16.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,t,Italy
2006-07-17,2006-07-23,Italy,Clay,50000.0,$,2006,melvyn-op-der-heijde,,werner-eschauer,,rimini_challenger,Semi-Finals,2.0,f,100,6,,,0.0,5.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Italy,2.0,12.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Italy
2006-07-17,2006-07-23,Italy,Clay,50000.0,$,2006,morgan-phillips,,radim-zitko,,rimini_challenger,Round of 32,2.0,f,100,3,,,0.0,5.0,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,Q,f,Italy,2.0,13.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Italy
2006-07-17,2006-07-23,Italy,Clay,50000.0,$,2006,nicolas-devilder,,pablo-cuevas,,rimini_challenger,Round of 16,2.0,f,100,4,,,0.0,6.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,1,f,Italy,2.0,12.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Italy
2006-07-17,2006-07-23,Italy,Clay,50000.0,$,2006,pablo-andujar,,vasilis-mazarakis,,rimini_challenger,Round of 32,1.0,f,100,3,,,1.0,5.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,t,,t,Italy,0.0,1.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,t,f,Italy
2006-07-17,2006-07-23,Italy,Clay,50000.0,$,2006,pablo-andujar,,werner-eschauer,,rimini_challenger,Finals,3.0,f,100,7,,,2.0,16.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,f,Italy,1.0,12.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,t,Italy
2006-07-17,2006-07-23,Italy,Clay,50000.0,$,2006,simone-vagnozzi,,thierry-ascione,,rimini_challenger,Round of 16,2.0,f,100,4,,,2.0,13.0,9.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Italy,0.0,9.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Italy
