start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2002-09-16,2002-09-22,Bosnia and Herzegovina,Clay,25000.0,$,2002,frantisek-cermak,,juan-pablo-guzman,,banja-luka_challenger,Round of 32,3.0,f,100,3,,,2.0,15.0,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,f,Bosnia and Herzegovina,1.0,14.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,t,Bosnia and Herzegovina
2002-09-16,2002-09-22,Bosnia and Herzegovina,Clay,25000.0,$,2002,frantisek-cermak,,werner-eschauer,,banja-luka_challenger,Round of 16,3.0,f,100,4,,,1.0,14.0,15.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Bosnia and Herzegovina,2.0,15.0,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Bosnia and Herzegovina
2002-09-16,2002-09-22,Bosnia and Herzegovina,Clay,25000.0,$,2002,jakub-herm-zahlava,,janko-tipsarevic,,banja-luka_challenger,Round of 16,3.0,f,100,4,,,2.0,19.0,14.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,Q,t,Bosnia and Herzegovina,1.0,14.0,19.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Bosnia and Herzegovina
2002-09-16,2002-09-22,Bosnia and Herzegovina,Clay,25000.0,$,2002,jakub-herm-zahlava,,melvyn-op-der-heijde,,banja-luka_challenger,Round of 32,2.0,f,100,3,,,2.0,12.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,Q,t,Bosnia and Herzegovina,0.0,6.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Bosnia and Herzegovina
2002-09-16,2002-09-22,Bosnia and Herzegovina,Clay,25000.0,$,2002,jakub-herm-zahlava,,werner-eschauer,,banja-luka_challenger,Quarter-Finals,2.0,f,100,5,,,0.0,12.0,14.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,Q,f,Bosnia and Herzegovina,2.0,14.0,12.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Bosnia and Herzegovina
2002-09-16,2002-09-22,Bosnia and Herzegovina,Clay,25000.0,$,2002,jan-hajek,,werner-eschauer,,banja-luka_challenger,Round of 32,3.0,f,100,3,,,1.0,15.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Bosnia and Herzegovina,2.0,15.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Bosnia and Herzegovina
2002-09-16,2002-09-22,Bosnia and Herzegovina,Clay,25000.0,$,2002,janko-tipsarevic,,jiri-vanek,,banja-luka_challenger,Round of 32,2.0,f,100,3,,,2.0,12.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,Q,t,Bosnia and Herzegovina,0.0,6.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Bosnia and Herzegovina
2002-09-16,2002-09-22,Bosnia and Herzegovina,Clay,25000.0,$,2002,jan-weinzierl,,kornel-bardoczky,,banja-luka_challenger,Round of 32,2.0,f,100,3,,,0.0,6.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Bosnia and Herzegovina,2.0,12.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Bosnia and Herzegovina
2002-09-16,2002-09-22,Bosnia and Herzegovina,Clay,25000.0,$,2002,jaroslav-levinsky,,sebastian-prieto,,banja-luka_challenger,Round of 16,2.0,f,100,4,,,2.0,12.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Bosnia and Herzegovina,0.0,7.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Bosnia and Herzegovina
2002-09-16,2002-09-22,Bosnia and Herzegovina,Clay,25000.0,$,2002,jaroslav-levinsky,,slimane-saoudi,,banja-luka_challenger,Round of 32,2.0,f,100,3,,,2.0,12.0,8.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,,t,Bosnia and Herzegovina,0.0,8.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Bosnia and Herzegovina
2002-09-16,2002-09-22,Bosnia and Herzegovina,Clay,25000.0,$,2002,jaroslav-levinsky,,tomas-behrend,,banja-luka_challenger,Quarter-Finals,2.0,f,100,5,,,0.0,5.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Bosnia and Herzegovina,2.0,12.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Bosnia and Herzegovina
2002-09-16,2002-09-22,Bosnia and Herzegovina,Clay,25000.0,$,2002,juan-albert-viloca-puig,,todd-larkham,,banja-luka_challenger,Quarter-Finals,2.0,f,100,5,,,2.0,13.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,Q,t,Bosnia and Herzegovina,0.0,7.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Bosnia and Herzegovina
2002-09-16,2002-09-22,Bosnia and Herzegovina,Clay,25000.0,$,2002,juan-albert-viloca-puig,,tomas-behrend,,banja-luka_challenger,Semi-Finals,2.0,f,100,6,,,0.0,3.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,Q,f,Bosnia and Herzegovina,2.0,12.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Bosnia and Herzegovina
2002-09-16,2002-09-22,Bosnia and Herzegovina,Clay,25000.0,$,2002,kornel-bardoczky,,oscar-serrano,,banja-luka_challenger,Quarter-Finals,2.0,f,100,5,,,0.0,8.0,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,Q,f,Bosnia and Herzegovina,2.0,13.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Bosnia and Herzegovina
2002-09-16,2002-09-22,Bosnia and Herzegovina,Clay,25000.0,$,2002,kornel-bardoczky,,yuri-schukin,,banja-luka_challenger,Round of 16,3.0,f,100,4,,,2.0,15.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,Q,t,Bosnia and Herzegovina,1.0,16.0,15.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,f,Bosnia and Herzegovina
2002-09-16,2002-09-22,Bosnia and Herzegovina,Clay,25000.0,$,2002,markus-hantschk,,todd-larkham,,banja-luka_challenger,Round of 16,2.0,f,100,4,,,0.0,10.0,13.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Bosnia and Herzegovina,2.0,13.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Bosnia and Herzegovina
2002-09-16,2002-09-22,Bosnia and Herzegovina,Clay,25000.0,$,2002,olivier-patience,,oscar-serrano,,banja-luka_challenger,Round of 32,2.0,f,100,3,,,0.0,5.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,8,f,Bosnia and Herzegovina,2.0,12.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Bosnia and Herzegovina
2002-09-16,2002-09-22,Bosnia and Herzegovina,Clay,25000.0,$,2002,oscar-serrano,,werner-eschauer,,banja-luka_challenger,Semi-Finals,2.0,f,100,6,,,0.0,7.0,13.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Bosnia and Herzegovina,2.0,13.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Bosnia and Herzegovina
2002-09-16,2002-09-22,Bosnia and Herzegovina,Clay,25000.0,$,2002,salvador-navarro,,tomas-behrend,,banja-luka_challenger,Round of 16,1.0,f,100,4,,,0.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,t,,f,Bosnia and Herzegovina,1.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,t,t,Bosnia and Herzegovina
2002-09-16,2002-09-22,Bosnia and Herzegovina,Clay,25000.0,$,2002,simon-greul,,tomas-behrend,,banja-luka_challenger,Round of 32,2.0,f,100,3,,,0.0,5.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,f,f,,f,Bosnia and Herzegovina,2.0,12.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,t,f,t,Bosnia and Herzegovina
