start_date,end_date,location,court_surface,prize_money,currency,year,player_id,player_name,opponent_id,opponent_name,tournament,round,num_sets,doubles,masters,round_num,duration,total_points,sets_won_1,games_won_1,games_against_1,tiebreaks_won_1,tiebreaks_total,serve_rating_1,aces_1,double_faults_1,first_serve_made_1,first_serve_attempted_1,first_serve_points_made_1,first_serve_points_attempted_1,second_serve_points_made_1,second_serve_points_attempted_1,break_points_saved_1,break_points_against_1,service_games_won_1,return_rating_1,first_serve_return_points_made_1,first_serve_return_points_attempted_1,second_serve_return_points_made_1,second_serve_return_points_attempted_1,break_points_made_1,break_points_attempted_1,return_games_played_1,service_points_won_1,service_points_attempted_1,return_points_won_1,return_points_attempted_1,total_points_won_1,player_1_victory,retirement_1,seed_1,won_first_set_1,nation_1,sets_won_2,games_won_2,games_against_2,tiebreaks_won_2,serve_rating_2,aces_2,double_faults_2,first_serve_made_2,first_serve_attempted_2,first_serve_points_made_2,first_serve_points_attempted_2,second_serve_points_made_2,second_serve_points_attempted_2,break_points_saved_2,break_points_against_2,service_games_won_2,return_rating_2,first_serve_return_points_made_2,first_serve_return_points_attempted_2,second_serve_return_points_made_2,second_serve_return_points_attempted_2,break_points_made_2,break_points_attempted_2,return_games_played_2,service_points_won_2,service_points_attempted_2,return_points_won_2,return_points_attempted_2,total_points_won_2,player_2_victory,retirement_2,won_first_set_2,nation_2
2017-02-13,2017-02-19,USA,Hard,642750.0,$,2017,jordan-thompson,J. Thompson,nikoloz-basilashvili,N. Basilashvili,memphis,Round of 32,2.0,f,250,3,01:05:00,102.0,0.0,3.0,12.0,0.0,0.0,182.0,2.0,2.0,28.0,49.0,18.0,28.0,5.0,21.0,2.0,7.0,8.0,78.0,6.0,35.0,11.0,18.0,0.0,1.0,7.0,23.0,49.0,17.0,53.0,40.0,f,f,,f,USA,2.0,12.0,3.0,0.0,287.0,2.0,3.0,35.0,53.0,29.0,35.0,7.0,18.0,1.0,1.0,7.0,245.0,10.0,28.0,16.0,21.0,5.0,7.0,8.0,36.0,53.0,26.0,49.0,62.0,t,f,t,USA
2017-02-13,2017-02-19,USA,Hard,642750.0,$,2017,konstantin-kravchuk,K. Kravchuk,ryan-harrison,R. Harrison,memphis,Round of 32,2.0,f,250,3,01:26:00,124.0,0.0,8.0,13.0,0.0,0.0,265.0,4.0,0.0,35.0,56.0,28.0,35.0,10.0,21.0,4.0,7.0,10.0,99.0,6.0,40.0,14.0,28.0,1.0,4.0,11.0,38.0,56.0,20.0,68.0,58.0,f,f,,f,USA,2.0,13.0,8.0,0.0,288.0,9.0,5.0,40.0,68.0,34.0,40.0,14.0,28.0,3.0,4.0,11.0,145.0,7.0,35.0,11.0,21.0,3.0,7.0,10.0,48.0,68.0,18.0,56.0,66.0,t,f,t,USA
2017-02-13,2017-02-19,USA,Hard,642750.0,$,2017,matthew-barton,M. Barton,peter-polansky,P. Polansky,memphis,2nd Round Qualifying,2.0,f,250,2,00:56:00,100.0,0.0,3.0,12.0,0.0,0.0,181.0,4.0,3.0,31.0,62.0,19.0,31.0,10.0,31.0,6.0,11.0,8.0,58.0,6.0,30.0,3.0,8.0,0.0,1.0,7.0,29.0,62.0,9.0,38.0,38.0,f,f,8,f,USA,2.0,12.0,3.0,0.0,327.0,5.0,0.0,30.0,38.0,24.0,30.0,5.0,8.0,1.0,1.0,7.0,214.0,12.0,31.0,21.0,31.0,5.0,11.0,8.0,29.0,38.0,33.0,62.0,62.0,t,f,t,USA
2017-02-13,2017-02-19,USA,Hard,642750.0,$,2017,matthew-barton,M. Barton,tommy-paul,T. Paul,memphis,1st Round Qualifying,3.0,f,250,1,01:46:00,188.0,2.0,16.0,15.0,1.0,1.0,303.0,15.0,2.0,56.0,94.0,47.0,56.0,20.0,38.0,2.0,3.0,15.0,85.0,15.0,59.0,13.0,35.0,1.0,6.0,15.0,67.0,94.0,28.0,94.0,95.0,t,f,8,t,USA,1.0,15.0,16.0,0.0,301.0,9.0,2.0,59.0,94.0,44.0,59.0,22.0,35.0,5.0,6.0,15.0,102.0,9.0,56.0,18.0,38.0,1.0,3.0,15.0,66.0,94.0,27.0,94.0,93.0,f,f,f,USA
2017-02-13,2017-02-19,USA,Hard,642750.0,$,2017,matthew-ebden,M. Ebden,nikoloz-basilashvili,N. Basilashvili,memphis,Quarter-Finals,2.0,f,250,5,01:44:00,172.0,0.0,10.0,13.0,0.0,1.0,253.0,6.0,2.0,65.0,90.0,42.0,65.0,10.0,25.0,7.0,10.0,11.0,109.0,21.0,57.0,8.0,25.0,2.0,9.0,11.0,52.0,90.0,29.0,82.0,81.0,f,f,Q,f,USA,2.0,13.0,10.0,1.0,284.0,5.0,3.0,57.0,82.0,36.0,57.0,17.0,25.0,7.0,9.0,11.0,152.0,23.0,65.0,15.0,25.0,3.0,10.0,11.0,53.0,82.0,38.0,90.0,91.0,t,f,t,USA
2017-02-13,2017-02-19,USA,Hard,642750.0,$,2017,matthew-ebden,M. Ebden,peter-polansky,P. Polansky,memphis,Round of 32,3.0,f,250,3,02:25:00,227.0,2.0,18.0,11.0,0.0,1.0,240.0,4.0,3.0,76.0,113.0,43.0,76.0,19.0,37.0,13.0,18.0,14.0,232.0,34.0,73.0,25.0,41.0,9.0,15.0,14.0,62.0,113.0,59.0,114.0,121.0,t,f,Q,f,USA,1.0,11.0,18.0,1.0,195.0,5.0,1.0,73.0,114.0,39.0,73.0,16.0,41.0,6.0,15.0,14.0,155.0,33.0,76.0,18.0,37.0,5.0,18.0,14.0,55.0,114.0,51.0,113.0,106.0,f,f,t,USA
2017-02-13,2017-02-19,USA,Hard,642750.0,$,2017,matthew-ebden,M. Ebden,taylor-fritz,T. Fritz,memphis,Round of 16,3.0,f,250,4,01:42:00,167.0,2.0,16.0,13.0,0.0,0.0,266.0,2.0,3.0,56.0,85.0,42.0,56.0,14.0,29.0,6.0,9.0,14.0,182.0,17.0,49.0,19.0,33.0,5.0,9.0,15.0,56.0,85.0,36.0,82.0,92.0,t,f,Q,t,USA,1.0,13.0,16.0,0.0,242.0,9.0,0.0,49.0,82.0,32.0,49.0,14.0,33.0,4.0,9.0,15.0,131.0,14.0,56.0,15.0,29.0,3.0,9.0,14.0,46.0,82.0,29.0,85.0,75.0,f,f,f,USA
2017-02-13,2017-02-19,USA,Hard,642750.0,$,2017,mikhail-kukushkin,M. Kukushkin,nikoloz-basilashvili,N. Basilashvili,memphis,Semi-Finals,2.0,f,250,6,01:47:00,145.0,0.0,7.0,13.0,0.0,1.0,235.0,2.0,0.0,56.0,86.0,33.0,56.0,13.0,30.0,11.0,14.0,9.0,172.0,10.0,40.0,7.0,19.0,1.0,1.0,10.0,46.0,86.0,17.0,59.0,63.0,f,f,,f,USA,2.0,13.0,7.0,1.0,301.0,5.0,0.0,40.0,59.0,30.0,40.0,12.0,19.0,0.0,1.0,10.0,152.0,23.0,56.0,17.0,30.0,3.0,14.0,9.0,42.0,59.0,40.0,86.0,82.0,t,f,t,USA
2017-02-13,2017-02-19,USA,Hard,642750.0,$,2017,mikhail-kukushkin,M. Kukushkin,steve-johnson,S. Johnson,memphis,Quarter-Finals,2.0,f,250,5,01:11:00,95.0,2.0,12.0,4.0,0.0,0.0,288.0,5.0,0.0,27.0,44.0,19.0,27.0,11.0,17.0,1.0,2.0,8.0,255.0,9.0,23.0,20.0,28.0,5.0,6.0,8.0,30.0,44.0,29.0,51.0,59.0,t,f,,t,USA,0.0,4.0,12.0,0.0,174.0,3.0,1.0,23.0,51.0,14.0,23.0,8.0,28.0,1.0,6.0,8.0,127.0,8.0,27.0,6.0,17.0,1.0,2.0,8.0,22.0,51.0,14.0,44.0,36.0,f,f,f,USA
2017-02-13,2017-02-19,USA,Hard,642750.0,$,2017,nikoloz-basilashvili,N. Basilashvili,ryan-harrison,R. Harrison,memphis,Finals,2.0,f,250,7,01:17:00,114.0,0.0,5.0,12.0,0.0,0.0,226.0,1.0,2.0,30.0,48.0,19.0,30.0,7.0,18.0,4.0,7.0,8.0,70.0,12.0,37.0,11.0,29.0,0.0,12.0,9.0,26.0,48.0,23.0,66.0,49.0,f,f,,f,USA,2.0,12.0,5.0,0.0,295.0,9.0,0.0,37.0,66.0,25.0,37.0,18.0,29.0,12.0,12.0,9.0,178.0,11.0,30.0,11.0,18.0,3.0,7.0,8.0,43.0,66.0,22.0,48.0,65.0,t,f,t,USA
2017-02-13,2017-02-19,USA,Hard,642750.0,$,2017,radu-albot,R. Albot,steve-darcis,S. Darcis,memphis,Round of 32,3.0,f,250,3,02:14:00,183.0,1.0,15.0,16.0,0.0,0.0,274.0,2.0,1.0,66.0,88.0,39.0,66.0,14.0,22.0,1.0,5.0,16.0,127.0,14.0,57.0,21.0,38.0,3.0,11.0,15.0,53.0,88.0,35.0,95.0,88.0,f,f,,f,USA,2.0,16.0,15.0,0.0,273.0,14.0,1.0,57.0,95.0,43.0,57.0,17.0,38.0,8.0,11.0,15.0,182.0,27.0,66.0,8.0,22.0,4.0,5.0,16.0,60.0,95.0,35.0,88.0,95.0,t,f,t,USA
2017-02-13,2017-02-19,USA,Hard,642750.0,$,2017,ryan-harrison,R. Harrison,sam-querrey,S. Querrey,memphis,Round of 16,2.0,f,250,4,00:54:00,94.0,2.0,12.0,4.0,0.0,0.0,304.0,4.0,0.0,21.0,37.0,17.0,21.0,12.0,16.0,0.0,1.0,8.0,225.0,14.0,31.0,16.0,26.0,5.0,9.0,8.0,29.0,37.0,30.0,57.0,59.0,t,f,,t,USA,0.0,4.0,12.0,0.0,188.0,5.0,1.0,31.0,57.0,17.0,31.0,10.0,26.0,4.0,9.0,8.0,156.0,4.0,21.0,4.0,16.0,1.0,1.0,8.0,27.0,57.0,8.0,37.0,35.0,f,f,f,USA
